ano;estado;uf;partido;part;id;ideol;estruturacao;candleg;candexec;coligacao;votos/leg;votos/exec;eleitorado;pib;pib_cat;idh;idh_cat
2002.00;AC;41.00;PCdoB;3.00;PCdoB2002AC;1.00;;0.08;0.00;1.00;8639.00;0.00;369726.00;2868.00;1.00;0.52;1.00
2002.00;AC;41.00;PDT;6.00;PDT2002AC;1.00;;0.17;0.00;1.00;6150.00;0.00;369726.00;2868.00;1.00;0.52;1.00
2002.00;AC;41.00;PFL;8.00;PFL2002AC;2.00;;0.71;0.00;1.00;12496.00;0.00;369726.00;2868.00;1.00;0.52;1.00
2002.00;AC;41.00;PL;11.00;PL2002AC;2.00;;0.96;0.00;0.00;19305.00;0.00;369726.00;2868.00;1.00;0.52;1.00
2002.00;AC;41.00;PMDB;12.00;PMDB2002AC;0.00;;1.00;1.00;1.00;25966.00;87602.00;369726.00;2868.00;1.00;0.52;1.00
2002.00;AC;41.00;PMN;13.00;PMN2002AC;1.00;;0.54;0.00;1.00;11507.00;0.00;369726.00;2868.00;1.00;0.52;1.00
2002.00;AC;41.00;PPB;15.00;PPB2002AC;2.00;;0.79;0.00;1.00;21123.00;0.00;369726.00;2868.00;1.00;0.52;1.00
2002.00;AC;41.00;PPS;17.00;PPS2002AC;1.00;;1.29;1.00;1.00;21760.00;6078.00;369726.00;2868.00;1.00;0.52;1.00
2002.00;AC;41.00;PRTB;23.00;PRTB2002AC;2.00;;0.58;1.00;0.00;1085.00;568.00;369726.00;2868.00;1.00;0.52;1.00
2002.00;AC;41.00;PSB;24.00;PSB2002AC;1.00;;1.67;0.00;1.00;19957.00;0.00;369726.00;2868.00;1.00;0.52;1.00
2002.00;AC;41.00;PSC;25.00;PSC2002AC;2.00;;0.21;0.00;1.00;2857.00;0.00;369726.00;2868.00;1.00;0.52;1.00
2002.00;AC;41.00;PSDB;27.00;PSDB2002AC;0.00;;1.04;0.00;1.00;18642.00;0.00;369726.00;2868.00;1.00;0.52;1.00
2002.00;AC;41.00;PSDC;28.00;PSDC2002AC;2.00;;1.33;0.00;1.00;20673.00;0.00;369726.00;2868.00;1.00;0.52;1.00
2002.00;AC;41.00;PSL;29.00;PSL2002AC;2.00;;0.42;1.00;1.00;4624.00;597.00;369726.00;2868.00;1.00;0.52;1.00
2002.00;AC;41.00;PST;31.00;PST2002AC;2.00;;0.17;0.00;1.00;618.00;0.00;369726.00;2868.00;1.00;0.52;1.00
2002.00;AC;41.00;PT;33.00;PT2002AC;1.00;;1.38;1.00;1.00;68112.00;165174.00;369726.00;2868.00;1.00;0.52;1.00
2002.00;AC;41.00;PTdoB;34.00;PTdoB2002AC;2.00;;0.17;0.00;1.00;2082.00;0.00;369726.00;2868.00;1.00;0.52;1.00
2002.00;AC;41.00;PTB;35.00;PTB2002AC;2.00;;1.17;0.00;0.00;10625.00;0.00;369726.00;2868.00;1.00;0.52;1.00
2002.00;AC;41.00;PV;38.00;PV2002AC;1.00;;0.29;0.00;1.00;1976.00;0.00;369726.00;2868.00;1.00;0.52;1.00
2002.00;AL;42.00;PAN;2.00;PAN2002AL;2.00;;0.22;0.00;1.00;2208.00;0.00;1600092.00;9812.00;1.00;0.47;0.00
2002.00;AL;42.00;PCdoB;3.00;PCdoB2002AL;1.00;;0.07;0.00;1.00;4248.00;0.00;1600092.00;9812.00;1.00;0.47;0.00
2002.00;AL;42.00;PDT;6.00;PDT2002AL;1.00;;0.48;1.00;0.00;56296.00;17333.00;1600092.00;9812.00;1.00;0.47;0.00
2002.00;AL;42.00;PFL;8.00;PFL2002AL;2.00;;0.22;0.00;1.00;40598.00;0.00;1600092.00;9812.00;1.00;0.47;0.00
2002.00;AL;42.00;PGT;9.00;PGT2002AL;2.00;;0.07;0.00;1.00;12581.00;0.00;1600092.00;9812.00;1.00;0.47;0.00
2002.00;AL;42.00;PHS;10.00;PHS2002AL;1.00;;0.04;0.00;1.00;3080.00;0.00;1600092.00;9812.00;1.00;0.47;0.00
2002.00;AL;42.00;PL;11.00;PL2002AL;2.00;;0.30;0.00;1.00;108206.00;0.00;1600092.00;9812.00;1.00;0.47;0.00
2002.00;AL;42.00;PMDB;12.00;PMDB2002AL;0.00;;0.07;0.00;0.00;21242.00;0.00;1600092.00;9812.00;1.00;0.47;0.00
2002.00;AL;42.00;PMN;13.00;PMN2002AL;1.00;;0.74;0.00;0.00;46967.00;0.00;1600092.00;9812.00;1.00;0.47;0.00
2002.00;AL;42.00;PPB;15.00;PPB2002AL;2.00;;0.15;0.00;1.00;5544.00;0.00;1600092.00;9812.00;1.00;0.47;0.00
2002.00;AL;42.00;PPS;17.00;PPS2002AL;1.00;;0.33;0.00;1.00;60134.00;0.00;1600092.00;9812.00;1.00;0.47;0.00
2002.00;AL;42.00;PRONA;20.00;PRONA2002AL;2.00;;0.70;0.00;1.00;41432.00;0.00;1600092.00;9812.00;1.00;0.47;0.00
2002.00;AL;42.00;PRP;22.00;PRP2002AL;1.00;;0.04;0.00;1.00;20485.00;0.00;1600092.00;9812.00;1.00;0.47;0.00
2002.00;AL;42.00;PRTB;23.00;PRTB2002AL;2.00;;0.15;1.00;1.00;16636.00;419741.00;1600092.00;9812.00;1.00;0.47;0.00
2002.00;AL;42.00;PSB;24.00;PSB2002AL;1.00;;0.74;1.00;1.00;186416.00;553035.00;1600092.00;9812.00;1.00;0.47;0.00
2002.00;AL;42.00;PSC;25.00;PSC2002AL;2.00;;0.07;0.00;1.00;991.00;0.00;1600092.00;9812.00;1.00;0.47;0.00
2002.00;AL;42.00;PSDB;27.00;PSDB2002AL;0.00;;0.41;0.00;0.00;104931.00;0.00;1600092.00;9812.00;1.00;0.47;0.00
2002.00;AL;42.00;PSDC;28.00;PSDC2002AL;2.00;;0.04;0.00;1.00;1667.00;0.00;1600092.00;9812.00;1.00;0.47;0.00
